file,PSF-mag,error
20230520151900-863-RA.wcs.proc.fits,12.506685606384277,0.20873309346126592
20230521151417-752-RA.wcs.proc.fits,--,0.0
20230521154933-241-RA.wcs.proc.fits,11.43959384841919,0.21673035777596766
20230522153045-729-RA.wcs.proc.fits,11.038833435058592,0.19437964069681338
20230522154624-727-RA.wcs.proc.fits,11.145306569671632,0.2271031786859853
20230523210842-911-RA.wcs.proc.fits,10.921394969940184,0.20103886494436038
20230524180955-720-RA.wcs.proc.fits,10.79887741470337,0.1672058003500065
20230524182725-957-RA.wcs.proc.fits,10.79894651107788,0.16927399285501524
20230525184701-216-RA.wcs.proc.fits,11.03368240585327,0.22261721834948864
20230525190514-248-RA.wcs.proc.fits,11.003926222229005,0.20340216257213453
20230525195322-030-RA.wcs.proc.fits,10.936714184570313,0.17886797463633816
20230526152122-558-RA.wcs.proc.fits,11.009887004089357,0.2072188387657256
20230526154421-699-RA.wcs.proc.fits,11.036189077758788,0.21443404987741194
20230527144518-321-RA.wcs.proc.fits,11.001685193634032,0.2013821554204028
20230527150837-913-RA.wcs.proc.fits,11.056242567443846,0.2101410454256578
20230528152042-139-RA.wcs.proc.fits,11.064951968383788,0.21047321946893904
20230528153428-317-RA.wcs.proc.fits,11.018793896484375,0.19998901256021126
20230530180249-785-RA.wcs.proc.fits,11.116609121704101,0.19443549155203813
20230603150337-154-RA.wcs.proc.fits,11.229852575683594,0.199291370764772
20230603151714-483-RA.wcs.proc.fits,11.239943853759765,0.20895915220612254
20230604151623-740-RA.wcs.proc.fits,11.249396830749511,0.22204909304875625
20230604153026-612-RA.wcs.proc.fits,11.253147393798827,0.20919614758998975
20230605152158-307-RA.wcs.proc.fits,11.291850007629396,0.21668270518583624
20230605160040-731-RA.wcs.proc.fits,11.288391519165039,0.2035598089209699
20230605163342-989-RA.wcs.proc.fits,11.366076430511477,0.19710569031645098
20230605170711-835-RA.wcs.proc.fits,11.302202090454102,0.19753902364114248
20230605172106-597-RA.wcs.proc.fits,11.292936504364015,0.20620847493520048
20230606145107-018-RA.wcs.proc.fits,11.321305393218992,0.2172628041198273
20230606151355-919-RA.wcs.proc.fits,11.321775803375246,0.2188712843213725
